Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1449.0,1449.0,1427.0,1441.75,1322.35400390625,64739
2019-01-02,1442.800048828125,1444.0,1417.550048828125,1426.4000244140625,1308.275146484375,94173
2019-01-03,1426.5,1428.199951171875,1390.25,1393.949951171875,1278.512451171875,165955
2019-01-04,1401.0,1407.0,1373.8499755859375,1389.300048828125,1274.24755859375,170370
2019-01-07,1400.0,1408.1500244140625,1380.550048828125,1383.949951171875,1269.3406982421875,128209
2019-01-08,1384.25,1394.5999755859375,1371.0999755859375,1381.9000244140625,1267.4603271484375,362423
2019-01-09,1393.300048828125,1393.300048828125,1372.699951171875,1385.199951171875,1270.487060546875,108794
2019-01-10,1390.199951171875,1399.0,1383.5999755859375,1390.25,1275.118896484375,98132
2019-01-11,1390.949951171875,1392.449951171875,1361.800048828125,1370.199951171875,1256.7291259765625,188315
2019-01-14,1369.0,1369.0,1331.0,1334.0,1223.52734375,180336
2019-01-15,1342.0999755859375,1348.0,1330.0999755859375,1341.050048828125,1229.993408203125,154188
2019-01-16,1344.0,1360.4000244140625,1337.25,1342.550048828125,1231.3692626953125,129634
2019-01-17,1345.0,1351.0,1336.800048828125,1346.1500244140625,1234.6708984375,88219
2019-01-18,1351.0,1352.0,1313.0,1318.25,1209.08154296875,184339
2019-01-21,1275.0,1336.449951171875,1275.0,1314.199951171875,1205.3668212890625,405947
2019-01-22,1315.25,1321.0,1296.199951171875,1300.800048828125,1193.0765380859375,184502
2019-01-23,1305.0,1306.25,1294.75,1301.0,1193.2598876953125,116250
2019-01-24,1307.0,1307.0,1287.3499755859375,1296.5999755859375,1189.2242431640625,144882
2019-01-25,1306.0,1314.199951171875,1280.0,1285.550048828125,1179.0894775390625,227556
2019-01-28,1301.0,1337.449951171875,1292.449951171875,1300.550048828125,1192.84716796875,374277
2019-01-29,1302.0,1307.199951171875,1268.0,1278.0999755859375,1172.25634765625,205848
2019-01-30,1283.0,1309.0,1281.0,1295.300048828125,1188.0318603515625,195791
2019-01-31,1301.3499755859375,1318.9000244140625,1296.9000244140625,1313.4000244140625,1204.6329345703125,189451
2019-02-01,1315.0,1334.5,1313.0,1324.5999755859375,1214.905517578125,203157
2019-02-04,1325.0,1326.050048828125,1302.0,1307.25,1198.9921875,120594
2019-02-05,1307.5,1322.0999755859375,1300.0,1305.199951171875,1197.112060546875,112868
2019-02-06,1308.0,1320.0,1293.050048828125,1311.6500244140625,1203.028076171875,154763
2019-02-07,1315.0,1320.0,1293.5,1300.1500244140625,1192.4803466796875,118417
2019-02-08,1299.3499755859375,1299.3499755859375,1258.949951171875,1262.199951171875,1157.6729736328125,225429
2019-02-11,1260.0,1260.0999755859375,1220.949951171875,1245.949951171875,1142.7686767578125,373894
