Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,283.75,283.75,279.8500061035156,282.8500061035156,240.1330108642578,230554
2019-01-02,282.8999938964844,283.3500061035156,277.75,280.5,238.1378936767578,626234
2019-01-03,280.6499938964844,282.25,277.79998779296875,278.8999938964844,236.7794952392578,361581
2019-01-04,279.5,282.79998779296875,279.5,280.75,238.3501434326172,601253
2019-01-07,283.3500061035156,284.8999938964844,281.20001220703125,281.75,239.1990966796875,457158
2019-01-08,281.75,285.1499938964844,281.45001220703125,284.20001220703125,241.2791290283203,310110
2019-01-09,284.20001220703125,291.8999938964844,284.20001220703125,290.70001220703125,246.79745483398438,1159477
2019-01-10,290.70001220703125,293.6499938964844,289.0,289.54998779296875,245.82115173339844,685987
2019-01-11,292.0,296.0,291.20001220703125,295.3999938964844,250.78765869140625,787022
2019-01-14,295.3999938964844,295.3999938964844,290.04998779296875,294.29998779296875,249.85372924804688,489769
2019-01-15,295.1000061035156,297.3500061035156,294.1000061035156,296.6000061035156,251.8064422607422,475576
2019-01-16,297.0,297.0,291.79998779296875,294.0,249.5990447998047,573155
2019-01-17,295.95001220703125,295.95001220703125,290.1499938964844,293.8999938964844,249.51419067382812,615473
2019-01-18,294.0,294.95001220703125,290.5,291.1000061035156,247.1370391845703,313842
2019-01-21,291.0,292.5,288.6499938964844,289.6499938964844,245.90602111816406,656914
2019-01-22,290.0,291.70001220703125,285.20001220703125,289.75,245.99093627929688,323793
2019-01-23,292.0,294.29998779296875,275.0,277.70001220703125,235.7607879638672,1855216
2019-01-24,279.45001220703125,283.29998779296875,278.04998779296875,278.8999938964844,236.7794952392578,1635584
2019-01-25,279.1000061035156,282.6000061035156,278.5,279.25,237.07667541503906,439555
2019-01-28,279.29998779296875,279.70001220703125,274.1000061035156,274.6499938964844,233.17138671875,640836
2019-01-29,276.0,279.0,274.6499938964844,278.54998779296875,236.4823760986328,546163
2019-01-30,280.0,280.29998779296875,273.75,274.79998779296875,233.2987060546875,730444
2019-01-31,277.3999938964844,279.5,273.70001220703125,278.75,236.6521759033203,950286
2019-02-01,280.0,284.8999938964844,279.25,280.79998779296875,238.39256286621094,1350645
2019-02-04,281.70001220703125,281.70001220703125,276.20001220703125,276.8999938964844,235.08160400390625,412232
2019-02-05,277.20001220703125,277.8999938964844,272.8500061035156,274.3999938964844,232.95912170410156,564585
2019-02-06,274.3999938964844,278.1000061035156,274.3999938964844,277.54998779296875,235.6334228515625,492412
2019-02-07,278.25,280.5,277.1000061035156,279.75,237.5011444091797,521892
2019-02-08,281.0,281.0,274.6000061035156,275.8500061035156,234.19015502929688,247481
2019-02-11,278.29998779296875,278.29998779296875,268.5,277.45001220703125,235.5485382080078,639298
2019-02-12,277.45001220703125,280.45001220703125,274.5,275.45001220703125,233.85057067871094,481271
2019-02-14,278.0,280.0,276.8999938964844,277.8999938964844,235.9305419921875,655544
2019-02-15,279.0,280.6000061035156,275.5,279.6000061035156,237.3738250732422,250631
2019-02-18,280.5,282.1499938964844,273.75,274.1499938964844,232.7469024658203,775398
2019-02-19,274.1499938964844,278.75,274.0,275.1000061035156,233.55343627929688,294348
2019-02-20,277.5,278.3999938964844,274.0,275.8500061035156,234.19015502929688,441211
2019-02-21,276.0,277.0,274.1000061035156,274.8999938964844,233.38363647460938,375657
2019-02-22,276.0,276.0,273.25,274.29998779296875,232.87423706054688,774462
2019-02-25,275.0,277.20001220703125,273.29998779296875,276.75,234.95425415039062,497360
2019-02-26,276.0,276.75,274.04998779296875,274.95001220703125,233.42608642578125,544201
2019-02-27,276.5,278.75,273.8500061035156,275.04998779296875,233.51097106933594,480774
2019-02-28,276.70001220703125,276.8999938964844,274.3500061035156,276.1499938964844,234.4448699951172,480004
2019-03-01,277.0,278.6499938964844,276.1000061035156,277.79998779296875,235.84564208984375,689752
2019-03-05,279.1000061035156,283.6000061035156,276.20001220703125,282.6499938964844,239.96322631835938,655473
2019-03-06,284.5,288.8999938964844,284.5,285.45001220703125,242.34034729003906,911239
2019-03-07,285.8999938964844,290.8999938964844,285.6000061035156,290.04998779296875,246.24560546875,530053
2019-03-08,290.95001220703125,293.1499938964844,289.20001220703125,292.04998779296875,247.9435272216797,535240
2019-03-11,292.0,294.70001220703125,291.1499938964844,293.0,248.7500762939453,395307
2019-03-12,293.04998779296875,295.54998779296875,293.04998779296875,294.54998779296875,250.0660400390625,410934
2019-03-13,296.0,296.8999938964844,294.20001220703125,294.79998779296875,250.27825927734375,446651
2019-03-14,290.29998779296875,296.0,290.29998779296875,295.45001220703125,250.830078125,365819
2019-03-15,296.0,296.75,289.5,290.95001220703125,247.0096893310547,346969
2019-03-18,291.1000061035156,294.1000061035156,291.1000061035156,292.25,248.1133575439453,774208
2019-03-19,294.5,300.0,293.3500061035156,299.3999938964844,254.1835174560547,530965
2019-03-20,300.0,301.6000061035156,296.6499938964844,298.5,253.41944885253906,578598
2019-03-22,300.0,300.3999938964844,296.29998779296875,297.70001220703125,252.74032592773438,535677
2019-03-25,297.0,297.0,293.45001220703125,295.20001220703125,250.61788940429688,282408
2019-03-26,295.0,296.29998779296875,291.20001220703125,293.20001220703125,248.91990661621094,406096
2019-03-27,293.0,296.3500061035156,291.75,293.0,248.7500762939453,416515
2019-03-28,294.95001220703125,301.5,293.1499938964844,300.0,254.69293212890625,703876
2019-04-01,297.25,299.5,296.5,297.29998779296875,252.4007110595703,303844
2019-04-02,297.0,299.70001220703125,294.70001220703125,297.1000061035156,252.23092651367188,455872
2019-04-03,297.79998779296875,298.45001220703125,295.0,295.8500061035156,251.169677734375,428073
2019-04-04,295.95001220703125,296.8999938964844,293.95001220703125,294.5,250.0235595703125,183480
2019-04-05,295.20001220703125,296.0,292.75,294.6499938964844,250.15090942382812,2110638
2019-04-08,293.5,295.0,291.70001220703125,292.54998779296875,248.36807250976562,374984
2019-04-09,292.54998779296875,296.70001220703125,292.3999938964844,296.3500061035156,251.59414672851562,849108
2019-04-10,294.54998779296875,296.6000061035156,293.45001220703125,294.0,249.5990447998047,537159
2019-04-11,294.95001220703125,297.25,293.0,296.29998779296875,251.5517120361328,829068
2019-04-12,296.3999938964844,306.3999938964844,295.6000061035156,305.6000061035156,259.4471435546875,4545577
2019-04-15,307.0,310.0,304.3500061035156,305.04998779296875,258.9802551269531,554033
2019-04-16,307.79998779296875,309.75,306.1000061035156,307.04998779296875,260.6781921386719,447505
2019-04-18,307.29998779296875,308.0,303.3999938964844,304.3500061035156,258.385986328125,397772
